stop_id,stop_name,stop_lat,stop_lon,bg2012popbuf025miles,ct2012popbuf025miles,bl2010popbuf025miles,bg2012popbuf050miles,ct2012popbuf050miles,bl2010popbuf050miles
75000.0,San Ysidro/Intl Border,32.5444087736999,-117.02940720299999,85.8286979725,111.502109891,68.5860857012,360.04092785,479.909665045,171.85652164799995
75002.0,Beyer Blvd Station,32.55757956629989,-117.04698358799999,2670.17470984,2924.63604457,3219.15099242,8804.96519735,8955.89592191,9741.96218589
75004.0,Iris Avenue Station,32.5696156210999,-117.067034581,1870.32858131,2072.90282643,1526.95479644,8376.93020017,8694.48085124,7700.08533087
75006.0,Palm Avenue Station,32.5851696491999,-117.08378713200001,883.1104654689999,1311.54616897,1338.78837243,4235.28825038,4790.24457486,3851.11679898
75008.0,Palomar Street Station,32.602557366199996,-117.084883304,605.337591159,602.194536447,1157.95616977,3331.83293644,3034.53985207,4486.15482815
75011.0,H Street Station,32.6300411028,-117.09552741200001,1444.91336684,1379.81241263,2040.46873315,4933.31469148,4893.65590289,6067.63068947
75012.0,Bayfront/E Street Station,32.6390182773999,-117.099037254,1143.35783738,544.962752172,1469.90936771,5666.71073778,4059.48168483,6945.80642934
75014.0,24th Street Station,32.6620044790999,-117.10808670999901,222.858555104,235.386567835,230.391078843,2233.28016464,1975.90208207,1822.89154895
75016.0,8th Street Station,32.6747094436,-117.113003655,286.559869484,235.386567835,55.1361123442,1917.5941652,1826.81053457,2132.7276095
75018.0,Barrio Logan Station,32.6980246082,-117.146569736,943.508456948,1006.13560529,907.564018935,4586.45875199,5198.51312024,4055.66190169
75020.0,Santee Town Center Station,32.841509485799996,-116.981168889,734.122877236,719.8978880889999,202.018790277,3357.94127413,3089.83503347,2115.03348928
75022.0,Gillespie Field Station,32.8269589785,-116.98210600600001,204.83203270299998,387.879993048,2.8116156159,1630.39720196,2043.77844532,502.51112699699996
75024.0,Arnele Avenue Station,32.8046685393999,-116.975633039,285.439453775,380.56526281199996,974.235102109,2470.67463101,1892.39572842,3582.09451621
75026.0,El Cajon Transit Center,32.791970179,-116.976166193,726.661717878,604.674215025,913.3632263019999,5444.44429017,5044.25280391,4873.44826007
75028.0,Amaya Drive Station,32.7853804833999,-117.001683159,1068.77074002,1108.98594622,1496.39026563,4248.97507959,4453.16191528,4497.54799895
75030.0,Grossmont Transit Center,32.7817110235,-117.01113942200001,950.914792658,1055.95249962,1195.2396615,4134.89798789,4238.62329509,3738.25201992
75032.0,70th St Station,32.7721438605,-117.042099546,1435.94737251,1516.72568397,1696.69555903,6317.94630468,6274.9807597,6882.35270618
75034.0,La Mesa Blvd Station,32.7650600166999,-117.02054966,1204.78235908,1269.76331681,1341.24700477,4729.91753709,4860.18151637,5453.97992128
75036.0,Spring Street Station,32.7568288053999,-117.017381086,1251.20518289,985.946006507,1605.46354137,4729.43903972,4055.82896345,4985.71257074
75038.0,Lemon Grove Depot,32.7433131769999,-117.03073405200001,959.665292769,1009.7002164,776.39720851,4164.11280627,4557.36397994,4525.79864417
75040.0,Massachusetts Ave Station,32.7235504917,-117.039536342999,1400.74608148,1382.00397945,1209.74386991,5719.65777506,5681.28200447,5460.99699036
75042.0,Old Town Transit Center,32.7551589189,-117.199704869,380.22670200199997,348.830742643,97.1412101597,1544.02781604,1566.75475753,833.275844406
75044.0,Morena/Linda Vista Station,32.7635528235,-117.196138981,1061.60334944,1126.07369813,614.514567705,3577.885919,3692.13950001,2493.75634883
75046.0,Fashion Valley Transit Center,32.765332263699996,-117.1694439,479.11133394,368.91297790699997,353.125019754,2994.23861142,2885.03362208,2809.98679237
75048.0,Hazard Center Station,32.7703933948999,-117.15778503,514.666599979,766.189528913,900.927203523,3347.31461574,3582.13501596,2763.27069134
75050.0,Mission Valley Center Station,32.7711634588999,-117.14946132799999,1687.83335766,738.204978253,1603.96158564,4179.1133216,2959.26477258,4466.07434994
75052.0,Rio Vista Station,32.7734971454,-117.142239927,1568.32345025,738.2458312389999,2432.7933063,3747.40108639,3083.91986776,3706.715205
75054.0,Fenton Parkway Station,32.7780259319999,-117.12739442600001,606.050596343,738.247681212,570.607657074,2584.84106719,3073.32902994,3310.8602565
75056.0,Qualcomm Stadium Station,32.7809760411999,-117.11910103,606.049576667,738.246439115,393.467710968,3453.9863035,3342.91889733,2069.89734936
75058.0,Mission San Diego Station,32.7810876958999,-117.111407293,1308.19733097,1178.48209284,1367.06181004,4445.35179816,4130.4652756,4320.03269234
75060.0,Grantville Station,32.7803240679999,-117.097044939,499.539996684,798.468040393,223.178813972,2136.41981499,3497.32735685,1452.37737444
75062.0,SDSU Transit Center,32.7731587302999,-117.071014456,2326.38794167,1034.08772498,3260.69018489,8277.81004547,5190.43558361,6685.05758659
75064.0,Alvarado Station,32.7772602245999,-117.056311181,1116.58058368,1390.42563156,1173.59949044,4288.16701062,5553.99405519,4429.23588434
75066.0,Encanto/62nd St Station,32.7100417855999,-117.063622241999,1930.75578104,1830.34369503,2743.40459855,7321.98092342,7022.90133374,7411.65719427
75068.0,Euclid Trolley Station,32.7095441974,-117.086237973,2120.55804914,2059.35441493,1842.34618599,7689.96429644,7709.24580904,8534.76962684
75070.0,47th St Station,32.7085870849999,-117.094398528,2171.00384308,2129.24738986,2284.93050977,6983.49812061,7415.66421194,7762.00782853
75072.0,32nd St/Commercial Station,32.7055153932,-117.124988775,3186.56432986,3355.97794597,3300.76607262,11092.1789904,11212.1181836,12042.1668905
75075.0,25th/Commercial St Station,32.7052411025999,-117.141412531,2672.27559641,3228.37669536,3171.88192136,10893.464152,11084.3876102,13292.9939334
75076.0,Washington St Station,32.7415869340999,-117.184195227,509.576487948,481.326549511,416.995294981,2771.90659461,2859.60393331,2533.83587548
75078.0,Middletown Station,32.7334051982999,-117.174629237999,607.149510149,914.1932266110001,592.2510868219999,3696.22636317,4144.95267226,3033.65590895
75080.0,County Center/Little Italy Station,32.7213242309,-117.170015509,1909.45861583,1710.1160094,3396.47805006,7983.02613178,6668.90221181,9526.54108919
75082.0,Santa Fe Depot,32.7173265902999,-117.16982097,2574.57087081,2449.66920433,2447.96813883,9659.00589834,7915.66334672,11287.6340159
75084.0,America Plaza Station,32.7166064076999,-117.16872428100001,2940.22550732,2692.47021655,4351.89183043,10787.8797401,8906.782195200001,12512.4150236
75087.0,Civic Center Station,32.7167355321999,-117.162437671,2987.02940617,3523.39418284,2777.09793952,13629.441478,10560.5936975,20063.7336966
75088.0,Fifth Avenue Station,32.7167447117999,-117.159706701,2802.62532581,3482.1576568000005,2285.55848527,12789.336515100002,10447.0308761,17890.375416900002
75091.0,City College Station,32.71593052629989,-117.153810307,3376.19379064,3077.42185014,3226.22607539,9144.94914453,9844.00417508,12927.1489502
75093.0,Park & Market Station,32.7110497018,-117.15373750299999,2518.24889269,2529.03488924,5430.21268514,11100.3457,10719.203656,14996.2944446
75095.0,Seaport Village Station,32.7121014071,-117.16874885,3595.01408002,2629.90287718,4451.35402662,8796.84310413,8068.31114885,10177.6671729
75097.0,Convention Center Station,32.7089983977,-117.163560446999,2517.6340645,2353.8848731,3814.97774962,9387.89755935,8357.46163435,10190.8696389
75099.0,Gaslamp Quarter Station,32.7068041906999,-117.159591112,2325.9896681,2296.31891328,1149.44678997,7903.33260275,7796.27330834,8861.18178266
75103.0,12th & Imperial Transit Center,32.705623027,-117.153138975999,2077.29391436,2088.972284,2501.64176013,9072.09235726,8826.3513869,9758.32719491
75105.0,Harborside Station,32.6911421009999,-117.132507125,1480.62731947,1531.69927006,470.82863756800003,5758.10559651,5601.7459712,4857.03279361
75107.0,Pacific Fleet Station,32.6858369983999,-117.124474981,1984.14390481,1984.14390481,1278.16780463,6703.40208834,6733.43823905,6067.26306884
